match_id,date,venue,city,teams,team1,team2,toss_winner,toss_decision,winner,result,season,match_type,gender,total_balls
1082601,2017-04-13,Eden Gardens,Kolkata,"Kolkata Knight Riders, Kings XI Punjab",Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,,2017,T20,male,37
1082602,2017-04-14,M Chinnaswamy Stadium,Bangalore,"Royal Challengers Bangalore, Mumbai Indians",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,2017,T20,male,39
1082603,2017-04-14,Saurashtra Cricket Association Stadium,Rajkot,"Gujarat Lions, Rising Pune Supergiant",Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,,2017,T20,male,38
1082604,2017-04-15,Eden Gardens,Kolkata,"Kolkata Knight Riders, Sunrisers Hyderabad",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,,2017,T20,male,40
1082605,2017-04-15,Feroz Shah Kotla,Delhi,"Delhi Daredevils, Kings XI Punjab",Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,,2017,T20,male,40
1082606,2017-04-16,Wankhede Stadium,Mumbai,"Mumbai Indians, Gujarat Lions",Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,,2017,T20,male,40
1082607,2017-04-16,M Chinnaswamy Stadium,Bangalore,"Royal Challengers Bangalore, Rising Pune Supergiant",Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,Rising Pune Supergiant,,2017,T20,male,40
1082608,2017-04-17,Feroz Shah Kotla,Delhi,"Delhi Daredevils, Kolkata Knight Riders",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,,2017,T20,male,40
1082609,2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"Sunrisers Hyderabad, Kings XI Punjab",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,,2017,T20,male,40
1082610,2017-04-18,Saurashtra Cricket Association Stadium,Rajkot,"Gujarat Lions, Royal Challengers Bangalore",Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,Royal Challengers Bangalore,,2017,T20,male,40
1082611,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"Sunrisers Hyderabad, Delhi Daredevils",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,,2017,T20,male,40
1082612,2017-04-20,Holkar Cricket Stadium,Indore,"Kings XI Punjab, Mumbai Indians",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,2017,T20,male,36
1082613,2017-04-21,Eden Gardens,Kolkata,"Kolkata Knight Riders, Gujarat Lions",Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,,2017,T20,male,39
1082614,2017-04-22,Wankhede Stadium,Mumbai,"Mumbai Indians, Delhi Daredevils",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,,2017,T20,male,40
1082615,2017-04-22,Maharashtra Cricket Association Stadium,Pune,"Rising Pune Supergiant, Sunrisers Hyderabad",Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,Rising Pune Supergiant,,2017,T20,male,40
1082616,2017-04-23,Saurashtra Cricket Association Stadium,Rajkot,"Gujarat Lions, Kings XI Punjab",Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Kings XI Punjab,,2017,T20,male,40
1082617,2017-04-23,Eden Gardens,Kolkata,"Kolkata Knight Riders, Royal Challengers Bangalore",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,,2017,T20,male,30
1082618,2017-04-24,Wankhede Stadium,Mumbai,"Mumbai Indians, Rising Pune Supergiant",Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,,2017,T20,male,40
1082620,2017-04-26,Maharashtra Cricket Association Stadium,Pune,"Rising Pune Supergiant, Kolkata Knight Riders",Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,2017,T20,male,39
1082621,2017-04-27,M Chinnaswamy Stadium,Bangalore,"Royal Challengers Bangalore, Gujarat Lions",Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,,2017,T20,male,34
1082622,2017-04-28,Eden Gardens,Kolkata,"Kolkata Knight Riders, Delhi Daredevils",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,Kolkata Knight Riders,,2017,T20,male,37
1082623,2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,"Kings XI Punjab, Sunrisers Hyderabad",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Sunrisers Hyderabad,,2017,T20,male,40
1082624,2017-04-29,Maharashtra Cricket Association Stadium,Pune,"Rising Pune Supergiant, Royal Challengers Bangalore",Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,,2017,T20,male,40
1082625,2017-04-29,Saurashtra Cricket Association Stadium,Rajkot,"Gujarat Lions, Mumbai Indians",Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,,tie,2017,T20,male,42
1082626,2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,"Kings XI Punjab, Delhi Daredevils",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,Kings XI Punjab,,2017,T20,male,26
1082627,2017-04-30,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"Sunrisers Hyderabad, Kolkata Knight Riders",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,,2017,T20,male,40
1082628,2017-05-01,Wankhede Stadium,Mumbai,"Mumbai Indians, Royal Challengers Bangalore",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Mumbai Indians,,2017,T20,male,40
